iter	Passed	Remaining
0	7	7174
1	15	7671
2	22	7595
3	30	7480
4	38	7626
5	44	7301
6	49	6954
7	57	7085
8	62	6916
9	69	6848
10	75	6744
11	79	6567
12	86	6600
13	93	6614
14	101	6679
15	111	6858
16	123	7133
17	135	7387
18	141	7284
19	147	7236
20	173	8094
21	197	8775
22	216	9179
23	230	9362
24	266	10410
25	279	10474
26	288	10385
27	293	10194
28	299	10036
29	305	9875
30	311	9737
31	316	9585
32	322	9448
33	327	9309
34	338	9340
35	344	9220
36	349	9085
37	354	8977
38	359	8864
39	364	8751
40	368	8624
41	374	8530
42	379	8435
43	383	8339
44	389	8270
45	393	8155
46	398	8085
47	406	8058
48	411	7983
49	416	7911
50	422	7857
51	427	7794
52	433	7750
53	439	7694
54	444	7632
55	449	7570
56	453	7508
57	458	7454
58	464	7402
59	469	7352
60	475	7313
61	479	7261
62	488	7265
63	493	7211
64	498	7175
65	502	7105
66	507	7064
67	512	7030
68	517	6986
69	522	6947
70	527	6904
71	534	6891
72	539	6849
73	545	6831
74	550	6793
75	556	6760
76	561	6728
77	566	6699
78	571	6665
79	577	6646
80	583	6621
81	591	6617
82	595	6584
83	601	6562
84	607	6540
85	612	6514
86	619	6501
87	625	6482
88	631	6460
89	636	6439
90	643	6428
91	649	6412
92	654	6384
93	660	6363
94	666	6348
95	671	6321
96	676	6300
97	682	6279
98	687	6259
99	693	6239
100	698	6218
101	704	6198
102	709	6179
103	714	6159
104	720	6143
105	726	6130
106	732	6112
107	738	6098
108	743	6080
109	749	6067
110	762	6104
111	773	6134
112	778	6112
113	783	6087
114	788	6065
115	795	6058
116	800	6039
117	806	6030
118	812	6014
119	818	6000
120	823	5981
121	828	5962
122	834	5950
123	839	5931
124	844	5913
125	849	5893
126	857	5892
127	862	5879
128	868	5860
129	872	5841
130	877	5822
131	885	5820
132	890	5802
133	895	5786
134	900	5770
135	905	5753
136	913	5751
137	918	5738
138	923	5719
139	928	5703
140	933	5687
141	938	5668
142	943	5657
143	948	5639
144	953	5624
145	959	5610
146	964	5596
147	969	5582
148	975	5570
149	980	5554
150	985	5538
151	990	5524
152	995	5508
153	1006	5527
154	1011	5513
